emp_id,name,hire_date,employment_type,country,jurisdiction,role,base_monthly_pay,flsa_status,ot_eligible,department,is_ghost,birth_date
EMP-00001,Charlotte White,2018-06-24,full_time,USA,WA,Sales_Representative,4036,nonexempt,True,Sales,False,1995-07-26
EMP-00002,Alexander Nelson,2018-08-07,full_time,USA,TX,Operations_Manager,13781,exempt,False,Finance,False,1971-05-18
EMP-00003,Olivia Roberts,2019-08-27,full_time,USA,MA,Software_Engineer,11840,exempt,False,HR,False,1994-09-21
EMP-00004,Amelia Jackson,2022-04-24,full_time,USA,MA,Payroll_Administrator,6394,exempt,False,Finance,False,2002-12-23
EMP-00005,Isabella Parker,2023-05-19,full_time,USA,CA,HR_Specialist,12715,nonexempt,True,Operations,False,1982-05-06
EMP-00006,Kevin Kumar,2019-06-09,full_time,USA,TX,Product_Manager,13140,exempt,False,Finance,False,1970-12-30
EMP-00007,Abigail Martin,2019-07-28,full_time,USA,IL,Software_Engineer,12504,exempt,False,Engineering,False,2003-12-18
EMP-00008,Noah Sanchez,2021-10-02,full_time,USA,NY,Operations_Manager,7941,exempt,False,HR,False,1980-05-26
EMP-00009,Grace Wright,2024-08-12,full_time,USA,WA,Software_Engineer,5695,exempt,False,HR,False,2001-12-16
EMP-00010,Allison Green,2024-02-25,full_time,USA,MA,Software_Engineer,13578,exempt,False,Engineering,False,1968-06-25
EMP-00011,Charlotte Campbell,2021-10-04,full_time,USA,CA,Operations_Manager,5762,exempt,False,Finance,False,1996-03-12
EMP-00012,Joseph Davis,2018-07-13,full_time,USA,IL,Sales_Representative,3951,nonexempt,True,HR,False,1981-09-16
EMP-00013,Benjamin Anderson,2022-11-27,full_time,USA,MA,Sales_Representative,7473,nonexempt,True,Sales,False,1998-08-29
EMP-00014,Abigail Stewart,2021-07-25,full_time,USA,TX,Analyst,12694,nonexempt,True,Finance,False,1994-12-01
EMP-00015,David Scott,2024-08-14,full_time,USA,TX,Product_Manager,12451,exempt,False,Operations,False,1993-08-29
EMP-00016,Lily Patel,2024-03-27,full_time,USA,IL,Product_Manager,6907,exempt,False,Finance,False,1971-04-12
EMP-00017,Amelia Hill,2020-05-31,full_time,USA,FL,Operations_Manager,4809,exempt,False,Operations,False,1982-09-27
EMP-00018,Zoe Smith,2018-11-30,full_time,USA,TX,HR_Specialist,7954,nonexempt,True,HR,False,1973-09-25
EMP-00019,Arjun Hall,2024-02-08,full_time,USA,NY,Product_Manager,4148,exempt,False,Operations,False,1966-06-25
EMP-00020,Mateo Williams,2023-07-23,full_time,USA,TX,Operations_Manager,5101,exempt,False,HR,False,1970-03-16
EMP-00021,Ella Walker,2021-04-21,full_time,USA,IL,Product_Manager,4675,exempt,False,HR,False,2003-08-03
EMP-00022,James Harris,2021-10-12,full_time,USA,WA,Operations_Manager,11640,exempt,False,HR,False,1972-07-02
EMP-00023,Benjamin Parker,2022-07-05,full_time,USA,WA,Operations_Manager,11771,exempt,False,Finance,False,1974-05-05
EMP-00024,James Smith,2023-09-28,full_time,USA,NY,Software_Engineer,13955,exempt,False,Engineering,False,1984-12-19
EMP-00025,Ava Harris,2024-10-18,full_time,USA,FL,Software_Engineer,7971,exempt,False,Engineering,False,1991-07-07
EMP-00026,Mateo Parker,2022-01-12,full_time,USA,CA,Operations_Manager,11108,exempt,False,Operations,False,1986-12-14
EMP-00027,Noah Williams,2023-09-20,full_time,USA,TX,Payroll_Administrator,7137,exempt,False,Engineering,False,1995-03-30
EMP-00028,Harper Perez,2024-06-01,full_time,USA,CA,Operations_Manager,8058,exempt,False,Operations,False,1978-09-24
EMP-00029,Henry Parker,2024-04-13,full_time,USA,FL,Product_Manager,4459,exempt,False,Operations,False,1968-02-07
EMP-00030,Morgan Wright,2019-06-01,full_time,USA,NY,HR_Specialist,7540,nonexempt,True,Finance,False,1978-10-23
EMP-00031,Alexander Martinez,2019-02-11,full_time,USA,FL,Product_Manager,5774,exempt,False,HR,False,1986-10-10
EMP-00032,Benjamin Hill,2020-01-28,full_time,USA,CA,Software_Engineer,13085,exempt,False,Sales,False,1971-10-14
EMP-00033,Zoe Turner,2019-08-08,full_time,USA,CA,Operations_Manager,9138,exempt,False,Finance,False,1975-03-07
EMP-00034,Abigail Allen,2022-10-20,full_time,USA,CA,Analyst,11215,nonexempt,True,Finance,False,1980-04-02
EMP-00035,Ella Williams,2018-12-07,full_time,USA,NJ,HR_Specialist,6654,nonexempt,True,Operations,False,1977-10-31
