emp_id,name,hire_date,employment_type,country,jurisdiction,role,base_monthly_pay,flsa_status,ot_eligible,department,is_ghost
EMP-00001,Allison Hill,2022-07-23,full_time,Canada,FL,Software_Engineer,8228,exempt,False,HR,False
EMP-00002,Megan Mcclain,2021-11-16,full_time,Australia,CA,Software_Engineer,8030,exempt,False,Engineering,False
EMP-00003,Allen Robinson,2023-12-20,part_time,US,FL,Data_Analyst,6733,non_exempt,True,Legal,False
EMP-00004,Cristian Santos,2024-03-02,part_time,Singapore,WA,Operations_Staff,4528,non_exempt,True,Engineering,False
EMP-00005,Kevin Pacheco,2021-06-22,expatriate,India,WA,Data_Analyst,6159,non_exempt,True,HR,False
EMP-00006,Melissa Peterson,2022-03-21,full_time,UK,UK_national,HR_Manager,6799,exempt,False,Finance,False
EMP-00007,Gabrielle Davis,2021-12-04,contractor,US,DE_national,HR_Manager,7249,exempt,False,Engineering,False
EMP-00008,Lindsey Roman,2025-02-02,full_time,Canada,federal,Operations_Staff,4291,non_exempt,True,HR,False
EMP-00009,Valerie Gray,2024-03-15,full_time,France,WA,Software_Engineer,8081,exempt,False,HR,False
EMP-00010,Lisa Hensley,2024-04-30,expatriate,Canada,DE_national,Software_Engineer,8650,exempt,False,Finance,False
EMP-00011,Amber Perez,2022-11-21,contractor,India,FL,Data_Analyst,6686,non_exempt,True,Finance,False
EMP-00012,David Garcia,2022-10-31,part_time,France,TX,Software_Engineer,8473,exempt,False,Operations,False
EMP-00013,Holly Wood,2022-06-28,part_time,India,CA,HR_Manager,6934,exempt,False,Engineering,False
EMP-00014,Timothy Wong,2024-06-27,expatriate,Canada,NY,HR_Manager,6916,exempt,False,Legal,False
EMP-00015,Nicholas Martin,2023-05-04,part_time,Singapore,UK_national,HR_Manager,7605,exempt,False,Operations,False
EMP-00016,Margaret Hawkins DDS,2025-08-28,contractor,Germany,FL,Data_Analyst,6762,non_exempt,True,Legal,False
EMP-00017,Crystal Johnson,2023-01-08,contractor,Australia,UK_national,Finance_Analyst,7670,exempt,False,HR,False
EMP-00018,Daniel Hahn,2025-10-28,expatriate,UK,CA,Data_Analyst,6881,non_exempt,True,Engineering,False
EMP-00019,Matthew Foster,2026-01-05,part_time,Australia,NY,Data_Analyst,6394,non_exempt,True,Operations,False
EMP-00020,Derek Wright,2024-04-01,expatriate,Canada,CA,Finance_Analyst,7996,exempt,False,Engineering,False
EMP-00021,Kevin Hurst,2023-06-10,contractor,India,NY,Finance_Analyst,7600,exempt,False,Operations,False
EMP-00022,Zachary Hicks,2021-11-24,expatriate,US,WA,Data_Analyst,6995,non_exempt,True,Legal,False
EMP-00023,Brian Burton,2025-05-27,full_time,Canada,FL,Data_Analyst,6156,non_exempt,True,Finance,False
EMP-00024,Arthur James,2026-06-03,full_time,India,DE_national,Data_Analyst,6019,non_exempt,True,Engineering,False
EMP-00025,Tricia Valencia,2021-07-01,contractor,France,CA,HR_Manager,6946,exempt,False,Legal,False
EMP-00026,Melanie Herrera,2022-10-11,full_time,Singapore,NY,Software_Engineer,8778,exempt,False,Legal,False
